name,brief,time,video_url,length,place,longitude,latitude,title
0000.mp4,不丹羚牛，国家一级重点保护野生动物，2016年《中国脊椎动物红色名录》易危物种。,2021-06-06 19:03:44,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2021/06/06/f0eae91c0e3a44159bdb11b8c0c7ba53_h2642000000nero_aac16.mp4,00:02:00,西藏雅鲁藏布大峡谷国家级自然保护区,东经94°39’-96°06’,北纬29°05’-30°20’,《秘境之眼》 不丹羚牛 20210606
0001.mp4,丘鹬，国家保护的有重要生态、科学、社会价值的陆生野生动物；白鹇，国家二级重点保护野生动物；红腹锦鸡，国家二级重点保护野生动物。,2019-11-19 19:08:13,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2019/11/19/9c03db03bb0f49ffb116892b8ae481e7_h2642000000nero_aac16.mp4,00:01:39,湖南永州都庞岭国家级自然保护区,东经111°51’2”-111°23’50”,北纬25°15’26”-25°36’39”,《秘境之眼》 丘鹬/白鹇/红腹锦鸡 20191119
0002.mp4,东北虎豹国家公园内，一只东北虎正慵懒地享受着午后的时光。,2019-10-19 18:54:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2019/10/19/c6b861107b4e45d0b2f1a029efc424f2_h2642000000nero_aac16.mp4,00:01:39,东北虎豹国家公园,东经129°05’0”-131°18’48”,北纬42°31’06”-44°14’49”,《秘境之眼》 东北虎 20191019
0003.mp4,虎，国家一级重点保护野生动物，2016年《中国脊椎动物红色名录》极危物种。,2020-05-01 19:00:21,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2020/05/01/51a1e90b782242e7a76e87028039906e_h2642000000nero_aac16.mp4,00:01:39,东北虎豹国家公园,东经129°05’0”-131°18’48”,北纬42°31’06”-44°14’49”,《秘境之眼》 东北虎 20200501
0004.mp4,东北虎豹国家公园内，东北虎时而坐享山风拂面，时而静听松涛阵阵。,2019-10-03 18:54:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2019/10/03/986879d94739463f8dd4aceab0778524_h2642000000nero_aac16.mp4,00:01:39,东北虎豹国家公园,东经129°05’0”-131°18’48”,北纬42°31’06”-44°14’49”,《秘境之眼》 东北虎/东北豹/雪豹/华北豹 20191003
0005.mp4,在危机四伏的大自然中，唯有强者才能生存下来。,2020-10-08 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2020/10/08/72af1ea572e8478392075f0bc93aae4d_h2642000000nero_aac16.mp4,00:01:40,黑龙江太平沟国家级自然保护区,东经130°31’12”-130°50’11”,北纬48°02’48”-48°20’19”,《秘境之眼》 东北虎/豹猫/鹰雕/须拟鲉 20201008
0006.mp4,在东北虎豹国家公园，冬去春来积雪消融，大地生机勃勃。,2022-01-03 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/01/03/8ab4b2549df24556bc711e6beaab492e_h2642000000nero_aac16.mp4,00:02:00,东北虎豹国家公园,东经129°05’0”-131°18’48”,北纬42°31’06”-44°14’49”,《秘境之眼》 东北豹/东北虎/梅花鹿/黑熊/狍子 20220103
0007.mp4,祁连山国家公园青海片区内，一只兔狲正好奇地观察着红外相机。,2019-10-09 18:54:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2019/10/09/b59f0c8a489742e28095a865b158d8de_h2642000000nero_aac16.mp4,00:01:39,祁连山国家公园,东经94°50’8”-102°59’8”,北纬36°45’10”-39°47’14”,《秘境之眼》 东北豹/兔狲/小熊猫/藏酋猴 20191009
0008.mp4,在河北曹妃甸湿地和鸟类省级自然保护区，每年的5月下旬左右，东方大苇莺的繁殖期如约而至。,2021-08-24 21:37:04,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2021/08/24/ce8d6af259a245639377b0441d215073_h2642000000nero_aac16.mp4,00:02:00,河北曹妃甸湿地和鸟类省级自然保护区,东经118°15’42”-118°23’24”,北纬39°92’4”-39°14’28”,《秘境之眼》 东方大苇莺 20210824
0009.mp4,东方白鹳，国家一级重点保护野生动物，2016年《中国脊椎动物红色名录》濒危物种。,2021-04-25 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2021/04/25/1f97e6b8e0eb439c9a815b3bf8f16981_h2642000000nero_aac16.mp4,00:02:00,黑龙江东方红国家级自然保护区,东经133°11’46”-133°56’31”,北纬46°12’00”-46°36’32”,《秘境之眼》 东方白鹳 20210425
